id,nazwa,kod
100,Limanowa,65-385
101,LódŸ,92-577
102,Lubaczów,60-915
103,Lublin,79-726
104,Lubliniec,14-322
105,Lwówek Sl¹ski,11-782
106,£azy,63-587
107,£êczyca,16-385
108,£om¿a,22-623
109,Malbork,70-239
110,Medyka,67-566
111,Miechów,47-553
112,Miêdzyrzecz,64-542
113,Miêdzyrzecze,28-079
114,Miko³ajki,83-977
115,Miko³ów,96-497
116,Mirów,69-389
117,M³ynarze,72-438
118,Monki,32-544
119,Mordy,07-754
120,Mys³owice,13-220
121,Myszków,91-786
122,Na³êczów,83-630
123,Nowy S¹cz,62-813
124,Nowy Targ,84-043
125,Nysa,72-297
126,Oborniki,33-160
127,Ogrodniki,14-095
128,Ogrodzieniec,82-082
129,Olkusz,19-255
130,Olsztyn,44-718
131,Olszyna,69-786
132,Opole,16-549
133,Ostro³êka,60-815
134,Oœwiêcim,27-702
135,Otmuchów,69-204
136,Piechowice,57-943
137,Pila,06-355
138,Pilica,15-308
139,Piotrków Trybunalski,04-419
140,Piwniczna-Zdrój,09-592
141,P³ock,04-688
142,Poraj,80-436
143,Poznañ,40-853
144,Prudnik,09-823
145,Przasnysz,81-084
146,Przemyœl,38-959
147,Pszczyna,53-858
148,Pu³awy,66-219
149,Pyrzowice,49-345
150,Pyrzyce,76-362
151,Rabka,30-698
152,Racibórz,00-355
153,Radom,43-586
154,Rajcza,18-286
155,RogoŸnik,74-768
156,Ruda Sl¹ska,12-684
157,Rybnik,24-983
158,Rzeszów,89-735
159,Sanok,71-890
160,Siedlce,14-461
161,Siemianowice Sl¹skie,09-006
162,Sieradz,62-407
163,Siewierz,65-885
164,Skierniewice,18-665
165,Skorogoszcz,57-633
166,S³awków,42-081
167,Sobotka,16-386
168,Sopot,77-187
169,Sosnowiec,14-721
170,Soœnicowice,15-658
171,Strzelce Opolskie,60-596
172,Sucha Beskidzka,98-902
173,Sura¿,76-117
174,Suwa³ki,91-271
175,Szamotu³y,64-698
176,Szczecin,22-544
177,Szczecinek,48-418
178,Szczekociny,66-008
179,Szczyrk,75-361
180,Œwiecko,47-842
181,Œwieradów-Zdrój,01-685
182,Œwiêtoch³owice,38-932
183,Œwinoujskie,13-345
184,Tarnobrzeg,85-266
185,Tarnowskie Góry,24-243
186,Tarnów,87-348
187,Terespol,22-593
188,Tomaszów Lubelski,95-084
189,Toruñ,90-535
190,Trzebinia,26-607
191,Tworóg,62-560
192,Tychy,76-939
193,Ustroñ,51-637
194,Wadowice,47-222
195,Walce,28-103
196,Wa³brzych,62-834
197,Warszawa,83-294
198,W¹growiec,87-659
199,Wejherowo,68-209
200,Wêgorzewo,67-547
201,Wis³a,99-436
202,Witonia,21-857
203,W³oc³awek,10-408
204,W³odowice,37-089
205,Wodzis³aw Sl¹ski,83-544
206,Wojkowice,84-273
207,Wolbrom,46-174
208,Wroc³aw,62-182
209,Zabrodzie,71-608
210,Zabrze,91-525
211,Zakopane,00-995
212,Zambrów,53-324
213,Zamoœæ,99-773
214,Zawiercie,58-922
215,Zgorzelec,79-972
216,Zielona Góra,95-970
217,¯ory,29-724
218,¯yrardów,51-006
219,¯ywiec,00-137
